Country_Code,Country_Name,Continent,Population,people_fully_vaccinated,median_age,total_cases,total_deaths,life_expectancy,human_development_index,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,total_boosters,reproduction_rate
TCA,Turks and Caicos Islands,North America,45726,469.013986,0,3471.916861,21.4957265,80.22,0,0,0,0,0,0,11.43356643,0
TCD,Chad,Africa,17723312,60999.62082,16.7,4788.130536,145.4957265,54.24,0.398,2.486,1.446,1768.153,280.995,6.1,20105.27584,0.494933955
TGO,Togo,Africa,8848700,29261.51593,19.4,21475.61228,172.9005439,61.04,0.515,2.839,1.525,1429.813,280.033,6.15,4017.979798,0.774599845
THA,Thailand,Asia,71697024,13771056.75,40.1,2088419.793,15475.29992,77.15,0.777,11.373,6.89,16277.671,109.861,7.04,5573652.458,0.785454545
TJK,Tajikistan,Asia,9952789,90556.43823,23.3,13591.82284,96.9044289,71.1,0.668,3.466,2.155,2896.913,427.698,7.11,22050.58275,0.289160839
TKL,Tokelau,Oceania,1893,5.372960373,0,1.1002331,0,81.86,0,0,0,0,0,0,2.174048174,0
TKM,Turkmenistan,Asia,6430777,4893.498057,26.9,0,0,68.19,0.715,4.277,2.541,16389.023,536.783,7.11,2802.138306,0
TLS,Timor,Asia,1341298,37378.90521,18,12704.75991,71.44910645,69.5,0.606,3.556,1.897,6570.102,335.346,6.86,8434.462315,0.475462315
TON,Tonga,Oceania,106867,1394.421911,22.3,5507.80575,4.335664336,70.91,0.725,5.82,4.032,5425.621,227.49,15.42,363.1359751,0.127466977
TTO,Trinidad and Tobago,North America,1531043,178747.7047,36.2,83287.15851,2035.707848,73.51,0.796,10.014,5.819,28763.071,228.467,10.97,24815.34499,0.715944056
TUN,Tunisia,Africa,12356116,1000091.747,32.7,612258.014,17292.22922,76.7,0.74,8.001,5.075,10849.297,318.991,8.52,111365.8423,0.758438228
TUR,Turkey,Asia,85341248,18192800.65,31.6,8566356.003,58570.29681,77.69,0.82,8.153,5.061,25129.341,171.285,12.13,9572403.159,0.674553225
TUV,Tuvalu,Oceania,11335,45.33877234,0,523.4366744,0.02020202,67.57,0,0,0,3575.104,0,27.25,12.86091686,0.012937063
TWN,Taiwan,Asia,23893396,5928796.087,42.2,0,0,80.46,0,0,8.353,0,103.957,0,4645776.215,0.79754524
TZA,Tanzania,Africa,65497752,337414.4048,17.7,20026.06371,450.1608392,65.46,0.529,3.108,1.874,2683.304,217.288,5.75,5572.154623,0.124428904
UGA,Uganda,Africa,47249588,238274.4911,16.4,97156.63714,2061.141414,63.37,0.544,2.168,1.308,1697.707,213.333,2.5,4921.273504,0.610714841
UKR,Ukraine,Europe,39701744,1460524.347,41.4,2860292.294,60216.06838,72.06,0.779,16.462,11.133,7894.393,539.849,7.11,13804.51748,0.766534577
URY,Uruguay,South America,3422796,1527336.394,35.6,486814.5807,4329.868789,77.91,0.817,14.655,10.361,20551.409,160.708,6.93,1138086.118,0.802220497
USA,United States,North America,338289856,123899381.3,38.3,51238882.24,661277.6822,78.86,0.926,15.413,9.732,54225.446,151.089,10.79,24106740.77,0.868445998
UZB,Uzbekistan,Asia,34627648,435279.1873,28.2,82620.65579,517.5353535,71.72,0.72,4.469,2.873,6253.104,724.417,7.57,188735.3341,0.813216783
VAT,Vatican,Europe,808,0,0,22.004662,0,75.12,0,0,0,0,0,0,0,0
VCT,Saint Vincent and the Grenadines,North America,103959,2162.183372,31.8,4721.788656,56.12587413,72.53,0.738,7.724,4.832,10727.146,252.675,11.62,191.3527584,0.455089355
VEN,Venezuela,South America,28301700,100266.5532,29,317988.2813,3458.666667,72.06,0.711,6.614,3.915,16745.022,204.85,6.47,1488.708625,0.828158508
VGB,British Virgin Islands,North America,31332,536.1142191,0,3381.387723,31.94327894,79.07,0,0,0,0,0,13.67,40.53146853,0
VIR,United States Virgin Islands,North America,99479,0,42.2,10752.79953,67.78243978,80.58,0,18.601,10.799,0,273.67,12.26,0,0
VNM,Vietnam,Asia,98186856,8165237.625,32.6,4476117.276,20674.53691,75.4,0.704,7.15,4.718,6171.884,245.465,6,3650682.775,0.744374514
VUT,Vanuatu,Oceania,326744,1642.590521,23.1,4105.317016,4.919191919,70.47,0.609,4.394,2.62,2921.909,546.3,12.02,113.8904429,0.144693085
WLF,Wallis and Futuna,Oceania,11596,135.4864025,0,950.8321678,4.248640249,79.94,0,0,0,0,0,0,18.02719503,0
WSM,Samoa,Oceania,222390,4153.717949,22,5551.296814,10.1025641,73.32,0.715,5.606,3.564,6021.557,348.977,9.21,1243.383838,0.131250971
YEM,Yemen,Asia,33696612,13193.77156,20.3,7275.853924,1385.856255,66.12,0.47,2.922,1.583,1479.147,495.003,5.35,586.3939394,0.524296814
ZAF,South Africa,Africa,59893884,5303941.327,27.3,2422738.518,65338.48563,64.13,0.709,5.344,3.053,12294.876,200.38,5.52,741229.864,0.81029526
ZMB,Zambia,Africa,20017670,310954.1064,17.7,185435.0179,2436.299922,63.89,0.584,2.48,1.542,3689.251,234.499,3.94,66.15928516,0.705967366
ZWE,Zimbabwe,Africa,16320539,999946.6605,19.6,134690.2852,3238.639472,61.49,0.571,2.822,1.882,1899.775,307.846,1.82,98477.48174,0.721670552
